Project,Package,Class,Method,INT-INT,INT-FLOAT,FLOAT-FLOAT,BOOL-BOOL,REF-REF,REF-NULL,VARVAR,VAREXP,VARMETHOD,VARCONST,VARARRAY,EXPEXP,EXPMETHOD,EXPCONST,EXPARRAY,METHODMETHOD,METHODCONST,METHODARRAY,CONSTCONST,CONSTARRAY,ARRAYARRAY
foo,profiling.constraint.bytecode,ByteCodeAnalyser,getCFGs,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode,ByteCodeAnalyser,init,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode,ByteCodeAnalyser,getCFG,0.0,0.0,0.0,2.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode,ByteCodeAnalyser,processClass,1.8333334,0.0,0.0,2.3333333,0.0,0.0,0.0,0.8333333,0.0,1.6666666,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode,ByteCodeAnalyser,init,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.graph,Node,copy,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.bytecode.instructionhandler,LDCHandler,handle,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0
foo,profiling.constraint.project,Clazz,meanMetricToCSV,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
foo,profiling.constraint.project,Clazz,printMetricsToFile_byMethod,0.0,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0
foo,profiling.constraint.project,Clazz,calculateMetrics,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,ConstraintInfoToFile,headProject,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,ConstraintInfoToFile,headClass,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,ConstraintInfoToFile,toOneLineString,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
foo,profiling.constraint.analysis,ConstraintInfoToFile,toOneLineString_short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
